Year,Week,Deaths,Population,BaselineRate,Expected,Excess,CumulativeExcess
1999,1,1074.0,13629291,5.573116995058337e-05,759.5763330269564,314.4236669730436,11211.07003604165
1999,2,1058.0,13629291,6.248295679588379e-05,851.5984007115278,206.4015992884722,11417.471635330123
1999,3,1054.0,13629291,6.0648388951308274e-05,826.5945416985653,227.4054583014347,11644.877093631558
1999,4,1004.0,13629291,6.303471984937163e-05,859.1185399305622,144.88146006943782,11789.758553700995
1999,5,1046.0,13629291,6.291327320498503e-05,857.4633082732436,188.53669172675643,11978.295245427751
1999,6,1018.0,13629291,6.309039282329553e-05,859.8773230930065,158.12267690699355,12136.417922334746
1999,7,1014.0,13629291,6.257332526826375e-05,852.8300589188198,161.16994108118024,12297.587863415925
1999,8,990.0,13629291,6.355170356345632e-05,866.1646614120831,123.83533858791691,12421.423202003842
1999,9,1032.0,13629291,6.234309098968312e-05,849.6921289378693,182.30787106213074,12603.731073065974
1999,10,1058.0,13629291,6.360417210696744e-05,866.8797704599424,191.1202295400576,12794.85130260603
1999,11,1022.0,13629291,6.355134421915103e-05,866.1597638039772,155.84023619602283,12950.691538802053
1999,12,1030.0,13629291,6.243219480709679e-05,850.906550794611,179.093449205389,13129.784988007443
1999,13,1022.0,13629291,6.0073884716307294e-05,818.7644562990046,203.23554370099544,13333.020531708438
1999,14,920.0,13629291,6.0158159819534264e-05,819.9130662049399,100.08693379506008,13433.107465503497
1999,15,934.0,13629291,5.837657447594465e-05,795.6313211158222,138.36867888417783,13571.476144387676
1999,16,982.0,13629291,5.9152597885471416e-05,806.2079699870746,175.79203001292535,13747.2681744006
1999,17,1028.0,13629291,5.720265876467354e-05,779.6316822774362,248.3683177225638,13995.636492123165
1999,18,976.0,13629291,5.630903884196734e-05,767.4522763074759,208.54772369252407,14204.184215815689
1999,19,1044.0,13629291,5.7060437735909897e-05,777.6933104900971,266.30668950990287,14470.490905325592
1999,20,1060.0,13629291,5.4066506031516115e-05,736.8881440567883,323.1118559432117,14793.602761268803
1999,21,926.0,13629291,5.7628853740975957e-05,785.4404176321999,140.5595823678001,14934.162343636604
1999,22,980.0,13629291,5.754412463507201e-05,784.2856199916652,195.71438000833484,15129.876723644938
1999,23,1044.0,13629291,5.7740313690651755e-05,786.9595377211767,257.04046227882327,15386.917185923761
1999,24,986.0,13629291,5.5707419378653895e-05,759.2526295707131,226.7473704292869,15613.66455635305
1999,25,974.0,13629291,5.567924762611161e-05,758.8686685573343,215.13133144266567,15828.795887795713
1999,26,1104.0,13629291,5.85191710413552e-05,797.574811201403,306.425188798597,16135.221076594311
1999,27,950.0,13629291,5.9012348809496054e-05,804.2964745181253,145.70352548187475,16280.924602076186
1999,28,976.0,13629291,5.7282299629780085e-05,780.717130803465,195.282869196535,16476.207471272723
1999,29,928.0,13629291,5.955847340505576e-05,811.7397655532658,116.26023444673422,16592.467705719457
1999,30,1012.0,13629291,5.857417562080834e-05,798.3244846211026,213.67551537889744,16806.14322109835
1999,31,1028.0,13629291,5.6826415335134464e-05,774.5037510894101,253.49624891058988,17059.639470008944
1999,32,1018.0,13629291,5.8493538363922585e-05,797.2254559815648,220.77454401843522,17280.414014027378
1999,33,1054.0,13629291,5.6511385467957156e-05,770.2101173559593,283.78988264404074,17564.203896671417
1999,34,1132.0,13629291,5.4958754195093555e-05,749.0488539224008,382.9511460775992,17947.15504274902
1999,35,972.0,13629291,5.858066577832256e-05,798.4129408664996,173.58705913350036,18120.74210188252
1999,36,1006.0,13629291,5.7026871515970345e-05,777.235826710771,228.764173289229,18349.50627517175
1999,37,1024.0,13629291,5.861293822858269e-05,798.8527914823779,225.14720851762206,18574.65348368937
1999,38,992.0,13629291,5.892589155805512e-05,803.1181234791767,188.8818765208233,18763.535360210193
1999,39,1072.0,13629291,6.0129515810662323e-05,819.5226686726177,252.47733132738233,19016.012691537573
1999,40,958.0,13629291,6.179666208417639e-05,842.2446903739065,115.75530962609355,19131.76800116367
1999,41,958.0,13629291,6.21141866598976e-05,846.5723252160625,111.4276747839375,19243.195675947605
